item_code,advt_no,details,link,published
1745366400000,202502,"ADVERTISEMENT FOR PSYCHIATRY SPECIALIST, PATHOLOGY SPECIALIST, CLINICAL PSYCHOLOGIST, COUNSELLOR PSYCHIATRY-2025 (22-04-2025)",/assets/pdf/Advertisement/ADVT_MED_SPE_Others_2025_22042025.PDF,1
1744416000000,202501,CORRIGENDUM (11-04-2025),/assets/pdf/Advertisement/ADV_ADIM_2025_03032025.PDF,1
1741046400000,202501,ADVERTISEMENT FOR ASSISTANT DIRECTOR INDUSTRY/MANAGER-2025 (03-03-2025),/assets/pdf/Advertisement/CORRIGENDUM_ADIM_11042025.PDF,1
1737676800000,202404,CORRIGENDUM (23-01-2025),/assets/pdf/Advertisement/ADV_CJ_2024_23122024.PDF,1
1734998400000,202404,ADVERTISEMENT FOR CIVIL JUDGE (JUNIOR DIVISION) EXAM-2024 (23-12-2024),/assets/pdf/Advertisement/Corrigendum-CJJDE2024_23012025.PDF,1
