item_code,advt_no,details,link,published
1746576000000,202401,Model Answer of Boiler Inspector Exam-2024 (07-05-2025),/assets/pdf/Model_Answer/MA_BOI_2024_07052025.pdf,1
1741651200000,202403,Amended Model Answer of State Service (Prelims) Exam-2024 (11-03-2025),/assets/pdf/Model_Answer/AMA_SSPE_2024_11032025.pdf,1
1739318400000,202403,Model Answer of State Service (Prelims) Exam-2024 (12-02-2025),/assets/pdf/Model_Answer/MA_SSPE_2024_12022025.pdf,1
