item_code,advt_no,details,link,published
1750000000000,202502,"ADVERTISEMENT FOR PSYCHIATRY SPECIALIST, PATHOLOGY SPECIALIST, CLINICAL PSYCHOLOGIST, COUNSELLOR PSYCHIATRY-2025 (22-04-2025)",assets/pdf/Advertisement/ADVT_MED_SPE_Others_2025_22042025.pdf,1
1740000000000,202501,ADVERTISEMENT FOR ASSISTANT DIRECTOR INDUSTRY/MANAGER-2025 (03-03-2025),assets/pdf/Advertisement/ADV_ADIM_2025_03032025.pdf,1
1730000000000,202404,ADVERTISEMENT FOR CIVIL JUDGE(JUNIOR DIVISION) EXAM-2024 (23-12-2024),assets/pdf/Advertisement/ADV_CJ_2024_23122024.pdf,1
1730000000000,202403,ADVERTISEMENT FOR STATE SERVICE EXAMINATION-2024 (26-11-2024),assets/pdf/Advertisement/ADVT_SSE2024_26112024.pdf,1
1730000000000,202402,"ADVERTISEMENT FOR SUBEDAR, SUBINSPECTOR CADRE & PLATOON COMMANDER RECRUITMENT-2024(21-10-2024)",assets/pdf/Advertisement/ADV_SI_PC_SUBE_2024_21102024.pdf,1
1730000000000,202401,ADVERTISEMENT FOR BOILER INSPECTOR-2024( 17-10-2024),assets/pdf/Advertisement/ADV_BI_2024_17102024.pdf,1
